"id","year","major_head","estimate_type","major_category","minor_category","sub_category","amount"
1103,"2021-2022","037","Revised","Customs","Import Duties","Basic Duties (including through Debit of Scrips) Other than debits of Scrips",128940.0
1104,"2021-2022","037","Revised","Customs","Import Duties","Basic Duties (including through Debit of Scrips) Through Debit in Ledger due to various scrip based schemes",20740.0
1105,"2021-2022","037","Revised","Customs","Import Duties","Additional Duty on Customs(CVD) ",0.0
1106,"2021-2022","037","Revised","Customs","Import Duties","National Calamity Contingent Duty ",880.0
1107,"2021-2022","037","Revised","Customs","Import Duties","Primary Education Cess ",0.0
1108,"2021-2022","037","Revised","Customs","Import Duties","Secondary and Higher Education Cess ",0.0
1109,"2021-2022","037","Revised","Customs","Import Duties","Social Welfare Surcharge ",12745.0
1110,"2021-2022","037","Revised","Customs","Import Duties","Health Cess ",775.0
1111,"2021-2022","037","Revised","Customs","Import Duties","Agriculture Infrastructure and Development Cess (AIDC) ",24450.0
1112,"2021-2022","037","Revised","Customs","Export Duty","Agriculture Infrastructure and Development Cess (AIDC) ",-900.0
1113,"2021-2022","037","Revised","Customs","Cesses on Exports","Agriculture Infrastructure and Development Cess (AIDC) ",1370.0
1114,"2021-2022","037","Revised","Customs","Other Receipts","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1115,"2021-2022","037","Revised","Customs","Sale of Gold by Public Auction","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1116,"2021-2022","037","Revised","Customs","Sale Proceeds of Confiscated Goods","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1117,"2021-2022","037","Revised","Customs","Customs Duty on Gold","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1118,"2021-2022","037","Revised","Customs","Receipt of advance payment of Assesses","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1119,"2021-2022","037","Revised","Customs","Safeguard Duty","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1120,"2021-2022","037","Revised","Customs","Road and Infrastructure Cess","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1121,"2021-2022","037","Revised","Customs","Anti-dumping Duty","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1122,"2021-2022","038","Revised","Union Excise Duties","Basic Excise Duties","Agriculture Infrastructure and Development Cess (AIDC) ",26125.0
1123,"2021-2022","038","Revised","Union Excise Duties","Additional Duty of Excise on Motor Spirit","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1124,"2021-2022","038","Revised","Union Excise Duties","Additional Duty of Excise on High Speed Diesel Oil","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1125,"2021-2022","038","Revised","Union Excise Duties","National Calamity Contingent Duty","Agriculture Infrastructure and Development Cess (AIDC) ",5250.0
1126,"2021-2022","038","Revised","Union Excise Duties","Special Additional Duty of Excise on Motor Spirit","Agriculture Infrastructure and Development Cess (AIDC) ",92970.0
1127,"2021-2022","038","Revised","Union Excise Duties","Special Additional Duty of Excise on Tobacco Products","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1128,"2021-2022","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Primary Education Cess ",0.0
1129,"2021-2022","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Secondary & Higher Education Cess ",0.0
1130,"2021-2022","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Crude Oil ",17500.0
1131,"2021-2022","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Bidi ",0.0
1132,"2021-2022","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Sugar ",0.0
1133,"2021-2022","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Automobiles ",0.0
1134,"2021-2022","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Others ",0.0
1135,"2021-2022","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Clean Environment Cess ",0.0
1136,"2021-2022","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Infrastructure Cess ",0.0
1137,"2021-2022","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Duty of Excise on Motor Spirit and High Speed Diesel Oil (Road and Infrastructure Cess) ",203235.0
1138,"2021-2022","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Agriculture Infrastructure and Development Cess (AIDC) ",48920.0
1139,"2021-2022","038","Revised","Union Excise Duties","Cesses administered by Other Departments","Rubber ",0.0
1140,"2021-2022","038","Revised","Union Excise Duties","Cesses administered by Other Departments","Jute ",0.0
1141,"2021-2022","038","Revised","Union Excise Duties","Cesses administered by Other Departments","Tea ",0.0
1142,"2021-2022","038","Revised","Union Excise Duties","Cesses administered by Other Departments","Oil and Oil Seeds ",0.0
1143,"2021-2022","038","Revised","Union Excise Duties","Cesses administered by Other Departments","Cotton ",0.0
1144,"2021-2022","038","Revised","Union Excise Duties","Cesses administered by Other Departments","Tobacco ",0.0
1145,"2021-2022","038","Revised","Union Excise Duties","Cesses administered by Other Departments","Paper ",0.0
1146,"2021-2022","038","Revised","Union Excise Duties","Auxiliary Duties of Excise","Paper ",0.0
1147,"2021-2022","038","Revised","Union Excise Duties","Special Excise Duties","Paper ",0.0
1148,"2021-2022","038","Revised","Union Excise Duties","Excise Duty on generation of Power","Paper ",0.0
1149,"2021-2022","038","Revised","Union Excise Duties","Additional Excise Duty on Textile and Textile Articles","Paper ",0.0
1150,"2021-2022","038","Revised","Union Excise Duties","Additional Duty of Excise on Mineral Product","Paper ",0.0
1151,"2021-2022","038","Revised","Union Excise Duties","Additional Excise Duties in lieu of Sales Tax","Paper ",0.0
1152,"2021-2022","038","Revised","Union Excise Duties","Additional Excise Duties on TV Sets","Paper ",0.0
1153,"2021-2022","038","Revised","Union Excise Duties","Other Duties","Paper ",0.0
1154,"2021-2022","038","Revised","Union Excise Duties","Sale of Confiscated Goods","Paper ",0.0
1155,"2021-2022","038","Revised","Union Excise Duties","Miscellaneous Receipts","Paper ",0.0
1156,"2021-2022","044","Revised","Service Tax","Collections","Paper ",1000.0
1157,"2021-2022","044","Revised","Service Tax","Primary Education Cess","Paper ",0.0
1158,"2021-2022","044","Revised","Service Tax","Secondary & Higher Education Cess","Paper ",0.0
1159,"2021-2022","044","Revised","Service Tax","Swachh Bharat Cess","Paper ",0.0
1160,"2021-2022","044","Revised","Service Tax","Krishi Kalyan Cess","Paper ",0.0
1161,"2021-2022","044","Revised","Service Tax","Other Receipts","Paper ",0.0
1162,"2021-2022","005","Revised","Goods and Services Tax (GST)","Central Goods and Services Tax (CGST)","Paper ",570000.0
1163,"2021-2022","008","Revised","Goods and Services Tax (GST)","Integrated Goods and Services Tax (IGST)","Paper ",0.0
1164,"2021-2022","009","Revised","Goods and Services Tax (GST)","GST Compensation Cess","Paper ",105000.0
1165,"2021-2022","040","Revised","Other Taxes and Duties on Commodities and Services","Taxes on Sale, Trade etc.","Paper ",0.0
1166,"2021-2022","045","Revised","Other Taxes and Duties on Commodities and Services","Other Taxes","Paper ",0.0
1167,"2021-2022","710","Revised","Taxes of Union Territories","Land Revenue","Paper ",36.41
1168,"2021-2022","710","Revised","Taxes of Union Territories","Stamps and Registration","Paper ",381.54
1169,"2021-2022","710","Revised","Taxes of Union Territories","State Excise Duties","Paper ",1555.03
1170,"2021-2022","710","Revised","Taxes of Union Territories","Sales Tax","Paper ",1342.79
1171,"2021-2022","710","Revised","Taxes of Union Territories","Taxes on Vehicles","Paper ",333.09
1172,"2021-2022","710","Revised","Taxes of Union Territories","Taxes on goods and passengers","Paper ",25.25
1173,"2021-2022","710","Revised","Taxes of Union Territories","Taxes and Duties on Electricity","Paper ",58.0
1174,"2021-2022","710","Revised","Taxes of Union Territories","Other Taxes and Duties","Paper ",0.03
1175,"2021-2022","007","Revised","Taxes of Union Territories","Union Territories  Goods and Services Tax (UTGST)","Paper ",3327.13
1176,"2021-2022","037","Revised","Less-NCCD transferred to the National Disaster Response Fund","NCCD (Customs)","Paper ",-880.0
1177,"2021-2022","038","Revised","Less-NCCD transferred to the National Disaster Response Fund","NCCD (Union Excise)","Paper ",-5250.0
1178,"2022-2023","020","Budget","Corporation Tax","Collections","None",623076.92
1179,"2022-2023","020","Budget","Corporation Tax","Surcharge","None",69230.77
1180,"2022-2023","020","Budget","Corporation Tax","Health and Education Cess","None",27692.31
1181,"2022-2023","020","Budget","Corporation Tax","Penalties","None",0.0
1182,"2022-2023","020","Budget","Corporation Tax","Interest Recoveries","None",0.0
1183,"2022-2023","020","Budget","Corporation Tax","Tax on Discounted Profits of Domestic Companies","None",0.0
1184,"2022-2023","020","Budget","Corporation Tax","Tax on Distributed Income to Unit Holders","None",0.0
1185,"2022-2023","020","Budget","Corporation Tax","Miscellaneous Receipts","None",0.0
1186,"2022-2023","021","Budget","Taxes on Income","Collections","None",588461.54
1187,"2022-2023","021","Budget","Taxes on Income","Surcharge","None",65384.61
1188,"2022-2023","021","Budget","Taxes on Income","Health and Education Cess","None",26153.85
1189,"2022-2023","021","Budget","Taxes on Income","Penalties","None",0.0
1190,"2022-2023","021","Budget","Taxes on Income","Interest Recoveries","None",0.0
1191,"2022-2023","021","Budget","Taxes on Income","Tax Under Black Money","None",0.0
1192,"2022-2023","021","Budget","Taxes on Income","Miscellaneous Receipts","None",0.0
1193,"2022-2023","034","Budget","Taxes on Income","Security Transaction Tax","None",20000.0
1194,"2022-2023","023","Budget","Taxes on Income","Hotel Receipts Tax","None",0.0
1195,"2022-2023","024","Budget","Taxes on Income","Interest Tax","None",0.0
1196,"2022-2023","026","Budget","Taxes on Income","Fringe Benefit Tax","None",0.0
1197,"2022-2023","028","Budget","Taxes on Income","Other Taxes on Income and Expenditure","Expenditure Tax ",0.0
1198,"2022-2023","028","Budget","Taxes on Income","Other Taxes on Income and Expenditure","Income Declaration Scheme, 2016 ",0.0
1199,"2022-2023","028","Budget","Taxes on Income","Other Taxes on Income and Expenditure","Other Receipts ",0.0
1200,"2022-2023","028","Budget","Taxes on Income","Krishi Kalyan Cess","Other Receipts ",0.0
1201,"2022-2023","031","Budget","Wealth Tax","Estate Duty","Other Receipts ",0.0
1202,"2022-2023","032","Budget","Wealth Tax","Taxes on Wealth","Other Receipts ",0.0
1203,"2022-2023","037","Budget","Customs","Import Duties","Basic Duties (including through Debit of Scrips) ",168000.0
1204,"2022-2023","037","Budget","Customs","Import Duties","Basic Duties (including through Debit of Scrips) Other than debits of Scrips",136810.0
1205,"2022-2023","037","Budget","Customs","Import Duties","Basic Duties (including through Debit of Scrips) Through Debit in Ledger due to various scrip based schemes",31190.0
1206,"2022-2023","037","Budget","Customs","Import Duties","Additional Duty on Customs(CVD) ",0.0
1207,"2022-2023","037","Budget","Customs","Import Duties","National Calamity Contingent Duty ",900.0
1208,"2022-2023","037","Budget","Customs","Import Duties","Primary Education Cess ",0.0
1209,"2022-2023","037","Budget","Customs","Import Duties","Secondary and Higher Education Cess ",0.0
1210,"2022-2023","037","Budget","Customs","Import Duties","Social Welfare Surcharge ",14280.0
1211,"2022-2023","037","Budget","Customs","Import Duties","Health Cess ",870.0
1212,"2022-2023","037","Budget","Customs","Import Duties","Agriculture Infrastructure and Development Cess (AIDC) ",27400.0
1213,"2022-2023","037","Budget","Customs","Export Duty","Agriculture Infrastructure and Development Cess (AIDC) ",50.0
1214,"2022-2023","037","Budget","Customs","Cesses on Exports","Agriculture Infrastructure and Development Cess (AIDC) ",1500.0
1215,"2022-2023","037","Budget","Customs","Other Receipts","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1216,"2022-2023","037","Budget","Customs","Sale of Gold by Public Auction","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1217,"2022-2023","037","Budget","Customs","Sale Proceeds of Confiscated Goods","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1218,"2022-2023","037","Budget","Customs","Customs Duty on Gold","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1219,"2022-2023","037","Budget","Customs","Receipt of advance payment of Assesses","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1220,"2022-2023","037","Budget","Customs","Safeguard Duty","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1221,"2022-2023","037","Budget","Customs","Road and Infrastructure Cess","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1222,"2022-2023","037","Budget","Customs","Anti-dumping Duty","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1223,"2022-2023","038","Budget","Union Excise Duties","Basic Excise Duties","Agriculture Infrastructure and Development Cess (AIDC) ",26900.0
1224,"2022-2023","038","Budget","Union Excise Duties","Additional Duty of Excise on Motor Spirit","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1225,"2022-2023","038","Budget","Union Excise Duties","Additional Duty of Excise on High Speed Diesel Oil","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1226,"2022-2023","038","Budget","Union Excise Duties","National Calamity Contingent Duty","Agriculture Infrastructure and Development Cess (AIDC) ",5500.0
1227,"2022-2023","038","Budget","Union Excise Duties","Special Additional Duty of Excise on Motor Spirit","Agriculture Infrastructure and Development Cess (AIDC) ",95750.0
1228,"2022-2023","038","Budget","Union Excise Duties","Special Additional Duty of Excise on Tobacco Products","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1229,"2022-2023","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Primary Education Cess ",0.0
1230,"2022-2023","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Secondary & Higher Education Cess ",0.0
1231,"2022-2023","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Crude Oil ",18020.0
1232,"2022-2023","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Bidi ",0.0
1233,"2022-2023","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Sugar ",0.0
1234,"2022-2023","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Automobiles ",0.0
1235,"2022-2023","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Others ",0.0
1236,"2022-2023","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Clean Environment Cess ",0.0
1237,"2022-2023","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Infrastructure Cess ",0.0
1238,"2022-2023","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Duty of Excise on Motor Spirit and High Speed Diesel Oil (Road and Infrastructure Cess) ",138450.0
1239,"2022-2023","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Agriculture Infrastructure and Development Cess (AIDC) ",50380.0
1240,"2022-2023","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Rubber ",0.0
1241,"2022-2023","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Jute ",0.0
1242,"2022-2023","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Tea ",0.0
1243,"2022-2023","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Oil and Oil Seeds ",0.0
1244,"2022-2023","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Cotton ",0.0
1245,"2022-2023","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Tobacco ",0.0
1246,"2022-2023","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Paper ",0.0
1247,"2022-2023","038","Budget","Union Excise Duties","Auxiliary Duties of Excise","Paper ",0.0
1248,"2022-2023","038","Budget","Union Excise Duties","Special Excise Duties","Paper ",0.0
1249,"2022-2023","038","Budget","Union Excise Duties","Excise Duty on generation of Power","Paper ",0.0
1250,"2022-2023","038","Budget","Union Excise Duties","Additional Excise Duty on Textile and Textile Articles","Paper ",0.0
1251,"2022-2023","038","Budget","Union Excise Duties","Additional Duty of Excise on Mineral Product","Paper ",0.0
1252,"2022-2023","038","Budget","Union Excise Duties","Additional Excise Duties in lieu of Sales Tax","Paper ",0.0
1253,"2022-2023","038","Budget","Union Excise Duties","Additional Excise Duties on TV Sets","Paper ",0.0
1254,"2022-2023","038","Budget","Union Excise Duties","Other Duties","Paper ",0.0
1255,"2022-2023","038","Budget","Union Excise Duties","Sale of Confiscated Goods","Paper ",0.0
1256,"2022-2023","038","Budget","Union Excise Duties","Miscellaneous Receipts","Paper ",0.0
1257,"2022-2023","044","Budget","Service Tax","Collections","Paper ",2000.0
1258,"2022-2023","044","Budget","Service Tax","Primary Education Cess","Paper ",0.0
1259,"2022-2023","044","Budget","Service Tax","Secondary & Higher Education Cess","Paper ",0.0
1260,"2022-2023","044","Budget","Service Tax","Swachh Bharat Cess","Paper ",0.0
1261,"2022-2023","044","Budget","Service Tax","Krishi Kalyan Cess","Paper ",0.0
1262,"2022-2023","044","Budget","Service Tax","Other Receipts","Paper ",0.0
1263,"2022-2023","005","Budget","Goods and Services Tax (GST)","Central Goods and Services Tax (CGST)","Paper ",660000.0
1264,"2022-2023","008","Budget","Goods and Services Tax (GST)","Integrated Goods and Services Tax (IGST)","Paper ",0.0
1265,"2022-2023","009","Budget","Goods and Services Tax (GST)","GST Compensation Cess","Paper ",120000.0
1266,"2022-2023","040","Budget","Other Taxes and Duties on Commodities and Services","Taxes on Sale, Trade etc.","Paper ",0.0
1267,"2022-2023","045","Budget","Other Taxes and Duties on Commodities and Services","Other Taxes","Paper ",0.0
1268,"2022-2023","710","Budget","Taxes of Union Territories","Land Revenue","Paper ",27.05
1269,"2022-2023","710","Budget","Taxes of Union Territories","Stamps and Registration","Paper ",422.9
1270,"2022-2023","710","Budget","Taxes of Union Territories","State Excise Duties","Paper ",1716.5
1271,"2022-2023","710","Budget","Taxes of Union Territories","Sales Tax","Paper ",1487.01
1272,"2022-2023","710","Budget","Taxes of Union Territories","Taxes on Vehicles","Paper ",368.45
1273,"2022-2023","710","Budget","Taxes of Union Territories","Taxes on goods and passengers","Paper ",28.5
1274,"2022-2023","710","Budget","Taxes of Union Territories","Taxes and Duties on Electricity","Paper ",64.0
1275,"2022-2023","710","Budget","Taxes of Union Territories","Other Taxes and Duties","Paper ",0.11
1276,"2022-2023","007","Budget","Taxes of Union Territories","Union Territories  Goods and Services Tax (UTGST)","Paper ",3705.61
1277,"2022-2023","037","Budget","Less-NCCD transferred to the National Disaster Response Fund","NCCD (Customs)","Paper ",-900.0
1278,"2022-2023","038","Budget","Less-NCCD transferred to the National Disaster Response Fund","NCCD (Union Excise)","Paper ",-5500.0
1279,"2021-2022","020","Actual","Corporation Tax","Collections","None",659005.02
1280,"2021-2022","020","Actual","Corporation Tax","Surcharge","None",15890.31
1281,"2021-2022","020","Actual","Corporation Tax","Health and Education Cess","None",27140.05
1282,"2021-2022","020","Actual","Corporation Tax","Penalties","None",92.09
1283,"2021-2022","020","Actual","Corporation Tax","Interest Recoveries","None",2240.31
1284,"2021-2022","020","Actual","Corporation Tax","Tax on Discounted Profits of Domestic Companies","None",3170.04
1285,"2021-2022","020","Actual","Corporation Tax","Tax on Distributed Income to Unit Holders","None",4164.21
1286,"2021-2022","020","Actual","Corporation Tax","Miscellaneous Receipts","None",335.3
1287,"2021-2022","021","Actual","Taxes on Income","Collections","None",635441.62
1288,"2021-2022","021","Actual","Taxes on Income","Surcharge","None",7922.88
1289,"2021-2022","021","Actual","Taxes on Income","Health and Education Cess","None",25592.28
1290,"2021-2022","021","Actual","Taxes on Income","Penalties","None",179.72
1291,"2021-2022","021","Actual","Taxes on Income","Interest Recoveries","None",3879.38
1292,"2021-2022","021","Actual","Taxes on Income","Tax Under Black Money","None",35.24
1293,"2021-2022","021","Actual","Taxes on Income","Miscellaneous Receipts","None",49.36
1294,"2021-2022","034","Actual","Taxes on Income","Security Transaction Tax","None",23191.03
1295,"2021-2022","023","Actual","Taxes on Income","Hotel Receipts Tax","None",0.25
1296,"2021-2022","024","Actual","Taxes on Income","Interest Tax","None",3.96
1297,"2021-2022","026","Actual","Taxes on Income","Fringe Benefit Tax","None",-54.98
1298,"2021-2022","028","Actual","Taxes on Income","Other Taxes on Income and Expenditure","Expenditure Tax ",2.08
1299,"2021-2022","028","Actual","Taxes on Income","Other Taxes on Income and Expenditure","Income Declaration Scheme, 2016 ",0.38
1300,"2021-2022","028","Actual","Taxes on Income","Other Taxes on Income and Expenditure","Other Receipts ",2.46
1301,"2021-2022","028","Actual","Taxes on Income","Krishi Kalyan Cess","Other Receipts ",0.01
1302,"2021-2022","028","Actual","Taxes on Income","Taxation and Investment Regime for PM Garib Kalyan Yojana 2016","Other Receipts ",0.01
1303,"2021-2022","031","Actual","Wealth Tax","Estate Duty","Other Receipts ",1.74
1304,"2021-2022","032","Actual","Wealth Tax","Taxes on Wealth","Other Receipts ",10.59
1305,"2021-2022","036","Actual","Commodity Transaction Tax","Collections under Commodity Transaction Tax","Other Receipts ",0.02
1306,"2021-2022","036","Actual","Commodity Transaction Tax","Gold Monetization Scheme","Other Receipts ",""
1307,"2021-2022","037","Actual","Customs","Import Duties","Basic Duties (including through Debit of Scrips) ",167638.71
1308,"2021-2022","037","Actual","Customs","Import Duties","Basic Duties (including through Debit of Scrips) Other than debits of Scrips",124641.24
1309,"2021-2022","037","Actual","Customs","Import Duties","Basic Duties (including through Debit of Scrips) Through Debit in Ledger due to various scrip based schemes",21377.32
1310,"2021-2022","037","Actual","Customs","Import Duties","Additional Duty on Customs(CVD) ",0.85
1311,"2021-2022","037","Actual","Customs","Import Duties","National Calamity Contingent Duty ",936.57
1312,"2021-2022","037","Actual","Customs","Import Duties","Primary Education Cess ",10.63
1313,"2021-2022","037","Actual","Customs","Import Duties","Secondary and Higher Education Cess ",0.03
1314,"2021-2022","037","Actual","Customs","Import Duties","Social Welfare Surcharge ",16945.06
1315,"2021-2022","037","Actual","Customs","Import Duties","Health Cess ",31.02
1316,"2021-2022","037","Actual","Customs","Import Duties","Agriculture Infrastructure and Development Cess (AIDC) ",28885.92
1317,"2021-2022","037","Actual","Customs","Export Duty","Agriculture Infrastructure and Development Cess (AIDC) ",-1575.43
1318,"2021-2022","037","Actual","Customs","Cesses on Exports","Agriculture Infrastructure and Development Cess (AIDC) ",1457.1
1319,"2021-2022","037","Actual","Customs","Other Receipts","Agriculture Infrastructure and Development Cess (AIDC) ",2419.09
1320,"2021-2022","037","Actual","Customs","Sale of Gold by Public Auction","Agriculture Infrastructure and Development Cess (AIDC) ",62.7
1321,"2021-2022","037","Actual","Customs","Sale Proceeds of Confiscated Goods","Agriculture Infrastructure and Development Cess (AIDC) ",2414.18
1322,"2021-2022","037","Actual","Customs","Customs Duty on Gold","Agriculture Infrastructure and Development Cess (AIDC) ",""
1323,"2021-2022","037","Actual","Customs","Receipt of advance payment of Assesses","Agriculture Infrastructure and Development Cess (AIDC) ",117.75
1324,"2021-2022","037","Actual","Customs","Safeguard Duty","Agriculture Infrastructure and Development Cess (AIDC) ",1018.73
1325,"2021-2022","037","Actual","Customs","Road and Infrastructure Cess","Agriculture Infrastructure and Development Cess (AIDC) ",1.82
1326,"2021-2022","037","Actual","Customs","Anti-dumping Duty","Agriculture Infrastructure and Development Cess (AIDC) ",983.72
1327,"2021-2022","038","Actual","Union Excise Duties","Basic Excise Duties","Agriculture Infrastructure and Development Cess (AIDC) ",25458.92
1328,"2021-2022","038","Actual","Union Excise Duties","Additional Duty of Excise on Motor Spirit","Agriculture Infrastructure and Development Cess (AIDC) ",26565.25
1329,"2021-2022","038","Actual","Union Excise Duties","Additional Duty of Excise on High Speed Diesel Oil","Agriculture Infrastructure and Development Cess (AIDC) ",61820.95
1330,"2021-2022","038","Actual","Union Excise Duties","National Calamity Contingent Duty","Agriculture Infrastructure and Development Cess (AIDC) ",6138.3
1331,"2021-2022","038","Actual","Union Excise Duties","Special Additional Excise Duties","Agriculture Infrastructure and Development Cess (AIDC) ",90548.03
1332,"2021-2022","038","Actual","Union Excise Duties","Special Additional Duty of Excise on Tobacco Products","Agriculture Infrastructure and Development Cess (AIDC) ",0.01
1333,"2021-2022","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Primary Education Cess ",3.09
1334,"2021-2022","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Secondary & Higher Education Cess ",1.52
1335,"2021-2022","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Crude Oil ",19353.84
1336,"2021-2022","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Bidi ",0.01
1337,"2021-2022","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Sugar ",0.02
1338,"2021-2022","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Automobiles ",0.01
1339,"2021-2022","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Others ",0.02
1340,"2021-2022","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Clean Environment Cess ",23.86
1341,"2021-2022","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Infrastructure Cess ",0.0
1342,"2021-2022","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Duty of Excise on Motor Spirit and High Speed Diesel Oil (Road and Infrastructure Cess) ",107598.94
1343,"2021-2022","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Agriculture Infrastructure and Development Cess (AIDC) ",48064.76
1344,"2021-2022","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Rubber ",""
1345,"2021-2022","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Jute ",0.04
1346,"2021-2022","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Tea ",""
1347,"2021-2022","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Oil and Oil Seeds ",""
1348,"2021-2022","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Cotton ",""
1349,"2021-2022","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Tobacco ",0.07
1350,"2021-2022","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Paper ",""
1351,"2021-2022","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Salt ",-0.2
1352,"2021-2022","038","Actual","Union Excise Duties","Auxiliary Duties of Excise","Salt ",-6.9
1353,"2021-2022","038","Actual","Union Excise Duties","Special Excise Duties","Salt ",5095.79
1354,"2021-2022","038","Actual","Union Excise Duties","Excise Duty on generation of Power","Salt ",""
1355,"2021-2022","038","Actual","Union Excise Duties","Additional Excise Duty on Textile and Textile Articles","Salt ",""
1356,"2021-2022","038","Actual","Union Excise Duties","Additional Duty of Excise on Mineral Product","Salt ",""
1357,"2021-2022","038","Actual","Union Excise Duties","Additional Excise Duties in lieu of Sales Tax","Salt ",-0.43
1358,"2021-2022","038","Actual","Union Excise Duties","Additional Excise Duties on TV Sets","Salt ",-1.49
1359,"2021-2022","038","Actual","Union Excise Duties","Other Duties","Salt ",48.52
1360,"2021-2022","038","Actual","Union Excise Duties","Sale of Confiscated Goods","Salt ",0.05
1361,"2021-2022","038","Actual","Union Excise Duties","Miscellaneous Receipts","Salt ",95.09
1362,"2021-2022","044","Actual","Service Tax","Collections","Salt ",992.29
1363,"2021-2022","044","Actual","Service Tax","Primary Education Cess","Salt ",1.72
1364,"2021-2022","044","Actual","Service Tax","Secondary & Higher Education Cess","Salt ",0.95
1365,"2021-2022","044","Actual","Service Tax","Swachh Bharat Cess","Salt ",9.63
1366,"2021-2022","044","Actual","Service Tax","Krishi Kalyan Cess","Salt ",7.23
1367,"2021-2022","044","Actual","Service Tax","Other Receipts","Salt ",""
1368,"2021-2022","005","Actual","Goods and Services Tax (GST)","Central Goods and Services Tax (CGST)","Salt ",591226.14
1369,"2021-2022","008","Actual","Goods and Services Tax (GST)","Integrated Goods and Services Tax (IGST)","Salt ",2119.08
1370,"2021-2022","009","Actual","Goods and Services Tax (GST)","GST Compensation Cess","Salt ",104768.66
1371,"2021-2022","040","Actual","Other Taxes and Duties on Commodities and Services","Taxes on Sale, Trade etc.","Salt ",""
